-- 커피
DESSERT | 쫀득쿠키 | [단품] 쫀득쿠키 | 4100 | 쫀득쿠키
DESSERT | 쫀득쿠키 | [콤보] 쫀득쿠키 | 4000 | 쫀득쿠키

-- 미니프레첼
DESSERT | 미니프레첼 | [단품] 미니프레첼 | 1300 | 미니프레첼
DESSERT | 미니프레첼 | [콤보] 미니프레첼 | 1200 | 미니프레첼

-- 옵션
OPTION | 옵션 | 덜달게 | 0 |
OPTION | 옵션 | 모찌추가 | 1000 |
OPTION | 옵션 | 미지근하게 | 0 |
OPTION | 옵션 | 바닐라시럽 | 500 | 시럽
OPTION | 옵션 | 샷추가 | 500 |
OPTION | 옵션 | 디카페인 샷추가 | 500 | 샷추가
OPTION | 옵션 | 설탕시럽 | 0 | 시럽
OPTION | 옵션 | 얼음많이 | 0 |
OPTION | 옵션 | 얼음빼고 | 0 |
OPTION | 옵션 | 얼음적게 | 0 |
OPTION | 옵션 | 물 없이 | 0 |
OPTION | 옵션 | 물 적게 | 0 |
OPTION | 옵션 | 물 많이 | 0 |
OPTION | 옵션 | 물 미지근 | 0 |
OPTION | 옵션 | 연하게 | 0 |
OPTION | 옵션 | 우유 추가 | 500 |
OPTION | 옵션 | 오트음료 추가 | 500 | 우유
OPTION | 옵션 | 오트음료 변경 | 500 | 우유
OPTION | 옵션 | 아몬드브리즈 추가 | 500 | 우유
OPTION | 옵션 | 아몬드브리즈 변경 | 500 | 우유
OPTION | 옵션 | 저지방우유 추가 | 500 | 우유
OPTION | 옵션 | 저지방우유 변경 | 500 | 우유
OPTION | 옵션 | 두유 추가 | 500 | 우유
OPTION | 옵션 | 두유 변경 | 500 | 우유
OPTION | 옵션 | 제로 사이다 변경 | 0 | 사이다
OPTION | 옵션 | 진하게 | 0 |
OPTION | 옵션 | 펄 추가 | 700 | 펄
OPTION | 옵션 | 헤이즐넛시럽 | 500 | 시럽
OPTION | 옵션 | 휘핑 없음 | 0 |
OPTION | 옵션 | 휘핑 기본 | 0 |
OPTION | 옵션 | 휘핑 많이 | 0 |
OPTION | 옵션 | 휘핑 조금 | 0 |
OPTION | 옵션 | 휘핑 추가 | 500 |
OPTION | 옵션 | 팥 추가 | 500 |
OPTION | 옵션 | 떡 추가 | 500 |
OPTION | 옵션 | 망고 추가 | 500 |
OPTION | 옵션 | 초코 소스 추가 | 300 |
OPTION | 옵션 | 카라멜 소스 추가 | 300 |
OPTION | 옵션 | 펄+흑당소스 추가 | 1000 |
OPTION | 옵션 | 과일토핑 | 500 |
OPTION | 옵션 | 딸기곤약펄 추가 | 700 | 곤약펄,펄

-- 기타
ETC | 기타 | 테이크아웃미적용 | 1000 | 테아
